[15:16:06.331] 16 iterations per epoch
[15:16:09.850] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:17:53.010] 16 iterations per epoch
[15:17:56.548] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:19:31.423] 16 iterations per epoch
[15:19:34.883] iteration 1 : total loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217 , con_weight: 0.000000
[15:19:35.261] iteration 2 : total loss : 1.489196, loss_ce: 2.128598, loss_dice: 0.849793, loss_cons: 0.000537 , con_weight: 0.000000
[15:19:35.640] iteration 3 : total loss : 1.417585, loss_ce: 1.988412, loss_dice: 0.846758, loss_cons: 0.000564 , con_weight: 0.000000
[15:19:36.087] iteration 4 : total loss : 1.328436, loss_ce: 1.818362, loss_dice: 0.838509, loss_cons: 0.000701 , con_weight: 0.000000
[15:19:36.825] iteration 5 : total loss : 1.169530, loss_ce: 1.541399, loss_dice: 0.797661, loss_cons: 0.001074 , con_weight: 0.000000
[15:19:37.571] iteration 6 : total loss : 0.975604, loss_ce: 1.180023, loss_dice: 0.771185, loss_cons: 0.002110 , con_weight: 0.000000
[15:19:38.664] iteration 7 : total loss : 0.951689, loss_ce: 1.130344, loss_dice: 0.773034, loss_cons: 0.005570 , con_weight: 0.000000
[15:19:39.553] iteration 8 : total loss : 0.914650, loss_ce: 1.086817, loss_dice: 0.742483, loss_cons: 0.009212 , con_weight: 0.000000
[15:19:40.152] iteration 9 : total loss : 0.877676, loss_ce: 1.021484, loss_dice: 0.733867, loss_cons: 0.021030 , con_weight: 0.000000
[15:19:40.831] iteration 10 : total loss : 0.961357, loss_ce: 1.181156, loss_dice: 0.741559, loss_cons: 0.030684 , con_weight: 0.000000
[15:19:41.444] iteration 11 : total loss : 1.017349, loss_ce: 1.293787, loss_dice: 0.740911, loss_cons: 0.020646 , con_weight: 0.000000
[15:19:42.066] iteration 12 : total loss : 0.765868, loss_ce: 0.822362, loss_dice: 0.709374, loss_cons: 0.011032 , con_weight: 0.000000
[15:19:42.911] iteration 13 : total loss : 0.992925, loss_ce: 1.238168, loss_dice: 0.747682, loss_cons: 0.014947 , con_weight: 0.000000
[15:19:43.558] iteration 14 : total loss : 0.710979, loss_ce: 0.736469, loss_dice: 0.685489, loss_cons: 0.009546 , con_weight: 0.000000
[15:19:44.258] iteration 15 : total loss : 0.975870, loss_ce: 1.240864, loss_dice: 0.710875, loss_cons: 0.007241 , con_weight: 0.000000
[15:19:44.924] iteration 16 : total loss : 0.724231, loss_ce: 0.760335, loss_dice: 0.688126, loss_cons: 0.010452 , con_weight: 0.000000
[15:19:46.313] iteration 17 : total loss : 0.715136, loss_ce: 0.730541, loss_dice: 0.699731, loss_cons: 0.015433 , con_weight: 0.000000
[15:19:46.919] iteration 18 : total loss : 0.814680, loss_ce: 0.920042, loss_dice: 0.709319, loss_cons: 0.013214 , con_weight: 0.000000
[15:19:47.855] iteration 19 : total loss : 0.644309, loss_ce: 0.614966, loss_dice: 0.673652, loss_cons: 0.007907 , con_weight: 0.000000
